R0000100,R0536300,R0536401,R0536402,R1204500,R1235800,R1482600,T5201400,T5202300,T5207400,T5211900,T5213200,T5397100,T6055500,T6141700,T6141800,T6145800,T6206400,T6210200,T6216400,T6216401,T6216402,T6216403,T6216500,T6216501,T6216502,T6216503,T6231000,T8123600,T8123700,T8129600,T8134500,T8976700,T9039300,T9039400,T9039500,T9039600,T9039700,T9039800,T9039900,T9040000,T9093100,T9093300,U0203700,T5915200,T5206800,T8128900,T5797300,T5808400,T6316000,T6230100,R0532200,R1302400,R1302500,R1486500,R1486600,R1486900,R1487700,R1487800,U0009400
454,1,8,1982,8400,1,2,28,4,2,1,123700,-4,25000,6,2,4,3,0,1,1,6,6,3,1,6,3,5520,31,4,2,1,25000,230,3,2,3,2,5,5,2,2,0,-4,0,12,13,0,1,-4,4380,0,-3,6,4,-4,400,1,0,2
455,1,8,1984,45000,1,2,26,4,2,1,118188,-4,38000,5,11,5,3,0,1,2,6,6,6,5,5,3,3510,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,1,12,-5,1,1,-4,8190,1,-3,-3,2,2,500,0,0,2
456,1,11,1983,-3,1,2,27,1,5,1,108589,-4,45000,5,11,4,1,0,1,1,7,7,5,3,6,7,2010,30,1,5,1,51000,220,4,1,4,3,4,4,2,1,0,-4,0,12,20,0,1,-4,8290,0,3,12,4,-4,500,3,0,5
457,1,5,1980,-4,1,2,30,4,2,1,148168,-4,40000,5,2,4,3,0,6,5,7,7,6,2,5,7,4700,33,4,2,1,12000,200,5,5,3,2,4,3,3,3,0,-4,2,12,12,-4,-4,0,4770,0,6,-4,2,2,-4,0,1,2
458,1,6,1982,-4,1,2,28,4,2,1,123700,-4,60000,5,8,5,3,0,1,2,6,6,4,2,1,3,2800,31,4,2,1,80000,226,3,1,3,1,4,4,3,3,0,-4,0,12,17,-4,1,-4,8560,1,6,6,3,4,-4,0,0,2
459,2,6,1983,-3,1,2,27,4,3,1,112458,350,-2,5,10,3,2,0,6,2,6,3,5,1,7,2,4600,30,4,3,1,-1,120,1,3,3,2,3,2,2,4,0,-4,0,12,15,1,2,-4,7860,1,12,6,4,4,600,1,0,3
460,2,12,1981,-3,1,2,28,4,2,1,93613,-4,-2,5,1,4,3,0,5,6,5,5,5,4,5,5,4010,31,4,2,1,13000,155,2,2,2,1,2,2,1,2,0,-4,0,12,12,0,3,-4,8680,1,6,9,2,2,400,0,0,2
461,2,3,1983,-3,1,2,27,4,0,1,112458,-4,15000,5,0,5,3,0,7,7,7,7,5,1,5,5,310,30,4,0,1,10000,178,2,2,5,1,5,5,1,1,0,-4,0,11,11,0,2,-4,8680,1,6,9,-4,1,400,1,0,1
462,2,2,1981,-3,1,2,29,4,2,1,93613,-4,10000,5,2,5,3,0,1,2,7,7,2,1,1,7,5240,32,4,2,1,11000,145,3,4,4,1,3,4,2,3,0,-4,0,12,12,0,1,-4,5090,0,-3,-3,3,4,300,0,0,2
463,1,7,1982,-3,1,2,28,-4,0,-4,123700,-4,-4,5,2,3,2,0,1,1,7,7,2,5,5,1,4350,31,-4,0,-4,7000,130,3,-2,2,1,5,5,2,3,0,-4,2,9,9,0,2,0,5580,0,-3,-3,-4,2,300,2,0,0
464,2,11,1981,-3,1,2,28,4,2,1,93613,-4,24000,5,4,-1,1,0,1,1,7,6,5,1,7,7,5240,31,4,2,1,23000,-1,5,5,5,1,5,5,1,2,0,-4,0,12,12,0,2,-4,4270,0,7,8,2,-4,200,0,0,2
465,2,10,1984,-3,1,2,26,4,2,1,111091,-4,-4,4,11,4,3,0,1,1,6,6,5,1,5,4,-4,29,4,2,1,25000,120,5,5,4,1,4,5,1,3,0,-4,1,12,14,-4,-4,-4,-4,0,7,8,4,-4,200,2,0,2
466,1,12,1983,-4,1,2,27,2,0,1,108589,-4,31000,5,6,4,3,0,2,7,5,5,5,5,6,7,5000,29,2,1,1,39000,180,3,3,2,2,2,2,2,3,0,-4,1,10,10,0,1,-4,4370,0,-3,4,3,-4,-4,3,2,1
467,2,9,1984,11700,1,2,26,4,2,1,111091,-4,4000,5,3,4,2,0,7,2,6,2,7,7,5,1,4760,29,4,2,1,15000,165,1,1,3,1,2,2,3,2,0,-4,1,12,12,-4,1,-4,5790,1,10,6,1,2,200,0,0,2
