R0000100,R0536300,R0536401,R0536402,R1204500,R1235800,R1482600,T5201400,T5202300,T5207400,T5211900,T5213200,T5397100,T6055500,T6141700,T6141800,T6145800,T6206400,T6210200,T6216400,T6216401,T6216402,T6216403,T6216500,T6216501,T6216502,T6216503,T6231000,T8123600,T8123700,T8129600,T8134500,T8976700,T9039300,T9039400,T9039500,T9039600,T9039700,T9039800,T9039900,T9040000,T9093100,T9093300,U0203700,T5915200,T5206800,T8128900,T5797300,T5808400,T6316000,T6230100,R0532200,R1302400,R1302500,R1486500,R1486600,R1486900,R1487700,R1487800,U0009400
7340,2,4,1981,5272,0,2,29,4,2,1,161809,-4,40000,5,0,3,2,0,1,1,7,7,5,7,6,5,5330,32,4,2,0,52000,173,3,4,4,1,5,5,3,2,0,-4,1,12,12,0,2,-4,7580,0,-3,8,2,-4,300,2,3,2
7341,2,2,1984,5272,0,2,26,4,2,1,166742,-4,-4,5,2,4,2,0,1,1,7,7,5,1,7,7,4510,29,4,2,1,25000,110,4,3,1,1,4,1,2,3,0,-4,1,12,12,0,3,-4,8980,0,-3,8,2,-4,300,2,2,2
7342,1,8,1982,40340,0,1,28,4,1,2,174340,-4,-4,-2,-2,4,3,0,7,5,4,4,7,3,4,1,-4,31,4,1,1,-4,132,5,5,4,4,5,5,3,1,0,-5,0,10,10,-4,-4,0,-4,0,-3,12,1,1,500,0,1,-5
7343,1,1,1983,29700,0,2,28,3,2,1,161239,-4,-2,5,10,3,2,0,1,4,6,5,2,1,7,7,4850,31,4,2,1,22000,200,2,2,3,2,3,3,2,2,0,-4,1,12,15,0,2,-4,4560,0,12,12,2,2,400,0,0,2
7344,2,7,1984,29700,0,2,26,4,2,1,166742,-4,25000,5,3,5,2,0,7,3,6,5,6,5,5,4,4700,29,4,2,1,-4,200,4,3,4,2,3,3,2,2,0,-4,0,12,12,0,3,-4,5390,0,12,12,3,4,400,1,1,2
7345,1,8,1982,11000,0,1,28,2,1,1,174340,-4,10000,6,4,3,3,0,1,2,6,7,6,1,5,-2,9130,31,2,1,1,40000,200,2,3,4,1,4,4,4,2,0,-4,1,9,9,-4,-4,0,7790,0,-3,12,4,-4,400,0,0,1
7346,1,9,1980,10800,0,2,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,12,11,4,1,250,4,2,-5
7347,1,10,1982,10800,0,2,28,4,2,1,200459,-4,60000,5,7,4,2,0,1,1,7,7,1,7,7,7,50,31,4,2,1,40000,180,5,5,5,1,4,5,1,1,0,-4,0,12,12,0,1,1,8660,0,11,11,4,4,250,1,2,2
7348,2,10,1982,116500,0,2,28,4,4,1,147278,-4,27000,5,6,4,2,0,1,2,6,6,7,4,2,1,2630,31,4,4,1,30000,169,4,4,4,2,4,4,3,2,0,-4,0,12,16,0,2,-4,7370,1,12,12,4,2,400,4,3,4
7349,1,6,1980,42042,0,2,30,4,1,1,215848,-4,15000,6,1,4,1,0,1,3,6,7,2,5,6,7,5240,33,4,1,1,23000,200,4,1,5,1,4,5,1,1,0,-4,1,10,10,0,1,-4,5090,0,8,10,2,-4,200,2,2,1
7350,1,8,1981,42042,0,2,29,4,1,1,204478,-4,25000,6,0,4,3,0,1,5,7,7,5,6,7,5,7310,32,4,3,1,15000,230,4,4,4,1,4,4,1,3,0,-4,1,8,14,0,3,-4,770,0,8,10,2,-4,200,3,3,3
7351,2,4,1984,42042,0,2,26,4,4,1,166742,-4,27000,5,0,3,2,0,2,1,7,7,5,1,6,1,2310,29,4,4,1,32000,106,4,3,4,1,4,4,2,2,0,-4,0,12,16,0,1,-4,7860,0,8,10,4,-4,200,0,0,4
7352,1,9,1983,8200,0,1,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,30,4,2,1,29000,185,4,4,5,1,4,4,2,2,0,-4,-5,-5,14,-5,-5,-5,-5,0,-3,12,-4,-4,400,1,0,2
7353,1,7,1982,10000,0,2,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,15,11,3,-4,600,2,0,-5
7354,1,10,1980,-3,0,2,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,33,4,0,1,25000,150,1,1,3,1,1,5,1,1,-2,-4,-5,-5,11,-5,-5,-5,-5,1,12,9,2,1,-4,1,3,0
7355,1,7,1983,-4,0,2,27,4,1,1,107278,-4,-2,5,5,3,2,0,7,7,7,1,7,3,1,1,6330,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,10,-5,-4,-4,-4,770,0,-4,-3,-4,-4,-4,1,2,-5
7356,1,4,1982,-3,0,2,28,4,3,1,133373,300,-4,5,10,3,2,0,2,3,7,7,4,1,6,6,5240,31,4,3,1,27000,112,3,3,3,1,2,3,3,3,0,-4,0,12,16,-4,-4,-4,7280,0,3,6,1,-4,300,3,3,3
7357,2,3,1981,50700,0,2,29,4,2,1,111503,-4,5000,5,2,5,3,0,1,2,6,6,4,1,4,4,3410,32,4,2,1,20000,230,3,3,4,2,3,3,1,3,0,-4,0,12,12,0,2,-4,5592,0,12,14,4,-4,400,1,2,2
7358,1,1,1984,-4,0,2,26,4,2,1,110716,-4,8000,5,9,5,4,0,2,2,3,3,6,7,3,3,-4,29,4,2,1,15000,180,3,2,2,1,4,4,1,2,0,-4,0,12,12,-4,-4,-4,-4,0,12,14,1,3,400,3,2,2
7359,2,1,1984,-4,0,2,26,4,2,1,114902,-4,-2,5,5,3,1,0,7,1,7,7,7,3,7,7,9720,29,4,2,1,20000,128,1,3,5,1,4,1,1,2,0,-4,0,12,12,0,1,-4,8390,0,13,-3,-4,4,-4,1,0,2
7360,1,7,1980,57000,0,2,30,4,2,1,148741,350,35000,5,9,4,3,0,2,3,5,6,4,7,4,1,620,33,3,3,1,49000,180,4,3,4,2,3,3,3,2,0,300,1,12,14,0,1,-4,6290,0,12,16,2,3,-4,8,3,3
7361,1,10,1983,64800,0,2,27,4,0,1,111110,-4,20000,5,5,3,1,0,1,1,6,6,1,5,6,7,7750,30,4,0,1,35000,175,5,4,5,1,5,5,1,1,0,-4,1,11,11,0,3,-4,3980,0,15,11,3,-4,200,1,0,0
7362,1,11,1980,63000,0,2,30,4,3,1,148741,-4,80000,5,3,3,1,0,1,1,7,6,1,1,6,6,120,33,4,4,1,180331,120,5,5,5,1,5,5,3,1,0,-4,0,12,15,0,1,-4,4670,1,16,14,2,2,-4,0,1,4
7363,1,12,1982,20800,0,2,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,7,9,4,4,600,0,0,-5
7364,1,11,1982,24800,0,2,27,2,2,1,128045,350,21000,5,9,4,2,0,1,5,7,6,5,2,6,3,9600,31,2,2,1,32000,265,4,4,4,1,5,5,1,3,0,400,1,12,13,0,3,-4,3890,1,10,7,3,3,600,7,3,2
7365,2,1,1980,-4,0,1,30,3,2,1,96569,-4,16782,5,7,5,1,0,1,1,7,7,7,1,6,1,4510,33,3,3,1,17000,224,4,5,5,1,5,5,2,2,0,-4,1,12,15,-4,-4,-4,8980,0,12,12,4,-4,-4,1,3,3
7366,2,1,1981,-3,0,1,29,3,4,0,115980,-4,38000,5,6,5,4,0,1,2,6,6,1,1,7,6,2320,32,3,4,1,37000,260,4,4,3,1,4,4,1,3,0,-4,0,12,18,1,2,1,7860,0,12,9,4,-4,-4,1,0,4
7367,2,4,1982,-4,0,1,28,3,3,1,106583,250,16000,5,5,3,3,0,1,1,7,7,2,1,6,6,310,31,3,3,1,29300,150,3,2,4,1,4,4,1,3,0,-4,1,12,16,0,2,0,8680,0,12,12,3,-4,-4,1,0,3
7368,2,9,1981,3000,0,1,29,3,3,1,115980,-4,28000,5,5,3,1,0,1,1,7,6,7,1,6,6,3650,32,4,3,1,35000,130,5,5,4,1,3,5,1,1,0,-4,0,12,14,0,1,-4,7970,0,12,12,2,2,-4,0,0,3
7369,1,8,1981,5896,0,1,29,3,2,1,112131,-4,60000,5,8,3,1,0,1,7,7,7,5,7,6,7,7360,32,3,2,1,45000,177,1,5,-2,1,1,3,2,1,0,-4,1,12,12,1,1,-4,3190,1,12,8,4,4,500,1,0,2
7370,2,12,1982,5896,0,1,28,3,2,1,106583,400,-2,3,1,2,2,0,1,1,7,7,1,2,5,7,2300,31,3,2,0,11000,126,1,5,5,1,4,5,1,1,0,-4,0,12,12,0,1,-4,8470,1,12,8,1,2,500,1,0,2
7371,2,3,1984,5896,0,1,26,3,2,1,118175,-4,1000,4,11,5,1,1,1,7,7,7,7,1,7,2,2300,29,3,2,1,11500,150,2,5,3,1,1,5,1,1,0,-4,0,12,14,0,3,0,8470,1,12,8,3,4,500,0,0,2
7372,1,4,1983,0,0,1,27,3,2,1,127715,320,20000,5,11,3,3,0,1,1,7,7,3,1,5,-2,4500,30,3,2,1,30000,175,5,1,2,1,5,5,1,1,0,-4,1,12,14,-4,1,-4,8970,0,12,12,4,-4,600,1,0,2
7373,2,6,1981,10000,0,1,29,3,4,1,115980,-4,33000,5,9,5,2,0,1,1,7,6,2,1,7,7,4600,32,3,4,1,26000,185,5,3,5,1,4,4,2,1,0,-4,0,12,16,0,2,-4,8470,0,-3,12,4,-4,500,0,0,4
7374,2,10,1983,10000,0,1,27,3,2,1,117231,-4,-2,6,0,5,4,0,3,2,6,4,5,3,4,5,4600,30,3,2,1,-2,350,4,2,4,1,4,4,2,4,0,-4,0,12,13,0,2,-4,8470,0,-3,12,2,-4,500,0,0,2
7375,1,2,1983,4000,0,1,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,31,4,1,1,-4,156,3,2,4,1,4,5,1,1,0,-4,-5,-5,13,-5,-5,-5,-5,0,12,12,4,-4,300,3,3,1
7376,1,9,1980,-3,0,1,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,33,3,2,1,40000,227,3,3,5,1,4,5,2,2,0,-4,-5,-5,12,-5,-5,-5,-5,0,-3,12,4,-4,500,0,0,2
7377,1,12,1981,-3,0,1,29,3,1,1,112131,-4,-4,6,1,3,1,0,1,1,7,7,1,7,7,7,4020,32,3,1,1,5000,145,5,4,3,4,2,1,1,1,0,350,0,11,11,1,5,-4,8680,0,-3,12,4,4,500,0,0,1
7378,2,6,1984,-3,0,1,26,2,2,1,118175,-4,5000,5,4,3,1,0,4,2,5,5,3,2,6,6,4020,29,2,2,1,1000,209,5,5,5,1,5,5,1,1,0,-5,0,12,12,0,5,-4,8680,1,-3,12,2,2,500,0,0,-5
7379,2,8,1980,10900,0,1,30,3,2,0,93403,-4,16000,5,0,5,4,0,1,5,7,7,6,1,5,7,7840,33,3,2,1,9696,190,1,1,4,1,3,4,1,2,0,350,3,12,14,0,1,-4,1190,0,-3,12,2,-4,500,0,2,4
7380,2,9,1983,10900,0,1,27,3,3,1,113387,100,1200,5,0,4,4,0,1,1,6,7,1,1,6,7,3650,30,3,3,1,25000,190,5,5,5,1,4,5,1,3,0,-4,0,12,14,0,3,0,8180,0,-3,12,3,-4,500,1,3,3
7381,2,2,1981,43000,0,1,29,2,4,1,115054,-4,-4,5,6,4,3,0,1,2,7,6,1,1,7,1,5810,32,2,4,1,2238,200,3,4,5,1,5,5,1,1,0,-4,0,12,16,-4,-4,0,7590,1,14,12,3,3,-4,0,0,4
7382,2,8,1980,11000,0,1,30,3,2,1,95798,-4,0,5,2,3,2,1,1,7,7,7,1,1,7,7,4600,33,3,2,1,-2,150,5,5,5,2,2,5,1,3,0,-4,0,12,12,0,3,-4,8470,0,11,12,1,-4,600,0,0,2
7383,1,10,1981,11000,0,1,29,4,4,1,111236,-4,-4,5,10,3,1,0,1,1,7,7,4,1,6,7,-4,32,4,4,1,82000,188,4,4,5,1,5,5,2,2,0,-5,0,12,17,-4,-4,0,-4,0,11,12,2,-4,600,0,1,-5
7384,2,9,1982,11000,0,1,28,3,2,1,105731,-4,15000,5,6,3,2,0,6,4,6,7,3,4,5,3,4720,31,3,2,1,17000,-1,3,3,4,1,3,4,1,1,0,-4,0,12,12,0,2,-4,5390,0,11,12,2,-4,600,1,0,2
7385,2,4,1980,13500,0,1,30,3,4,1,95798,-4,14000,5,4,5,2,0,1,5,7,6,1,1,6,6,230,33,3,4,1,32800,240,4,2,3,1,5,5,2,2,0,-4,0,12,18,0,3,-4,7860,0,12,14,4,-4,-4,0,2,5
7386,1,5,1982,38100,0,1,28,3,2,1,110471,-4,25000,5,9,3,3,0,1,1,7,5,1,2,7,7,3800,31,3,4,1,30000,210,5,5,5,1,5,5,1,5,0,-4,0,12,18,0,3,-4,9470,0,12,16,4,-4,600,0,2,4
7387,1,8,1981,-4,0,1,29,3,2,1,111236,-4,0,5,10,3,2,1,3,5,6,7,2,1,3,7,4250,32,3,2,1,-2,150,5,5,5,2,2,2,2,4,1,-4,0,12,12,0,1,-4,770,1,16,16,2,4,-4,0,0,2
7388,2,7,1984,70000,0,1,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,29,3,4,1,35000,145,3,3,5,2,2,3,4,1,0,-4,-5,-5,16,-5,-5,-5,-5,1,16,16,4,4,400,0,0,4
7389,1,11,1983,45500,0,1,27,3,5,1,167695,-4,22000,6,1,3,2,0,1,1,6,6,5,5,3,5,2000,30,3,5,1,23000,225,3,4,3,1,3,3,2,1,0,-4,0,12,17,1,1,-4,8590,1,12,12,4,4,500,0,0,5
7390,2,11,1982,35500,0,1,28,3,2,1,139948,-4,15000,5,3,3,1,0,2,1,7,6,5,1,5,6,5700,31,3,2,1,27500,140,4,4,1,1,4,4,3,1,0,320,0,12,15,1,2,-4,9480,1,12,12,4,4,600,2,2,2
7391,2,12,1981,40000,0,1,28,3,-3,1,152288,-4,-4,5,6,3,2,1,1,3,4,5,5,4,4,7,-4,32,3,-3,1,-4,175,3,2,4,4,5,5,2,2,1,-4,0,10,10,-4,-4,-4,-4,1,14,13,4,4,-4,0,1,-3
7392,2,9,1980,115500,0,1,30,3,4,0,118876,-4,60888,5,6,5,3,0,1,1,7,7,1,1,7,7,2010,33,3,4,1,-4,230,4,2,4,1,3,3,4,1,0,-4,1,12,16,0,1,-4,8190,1,12,16,2,2,-4,0,1,4
7393,1,9,1980,115500,0,1,30,3,4,1,186777,-4,60000,6,0,2,1,0,1,1,7,7,1,1,7,7,430,33,3,4,1,56000,230,5,1,5,1,5,5,1,1,0,-4,0,12,17,0,1,-4,9470,1,12,16,1,4,-4,1,1,4
7394,1,10,1983,26800,0,1,27,2,2,1,230500,-4,-4,6,0,4,2,0,1,1,7,7,4,1,1,3,-4,30,2,2,0,-4,225,2,5,3,1,4,3,1,1,0,-4,1,12,12,-4,-4,-4,-4,0,-3,12,4,2,400,2,0,2
7395,2,7,1984,-3,0,1,26,3,5,1,213283,-4,33000,5,10,3,2,0,5,3,6,5,7,2,5,6,1710,29,3,5,1,60000,140,3,4,4,2,4,4,2,2,0,-4,0,12,19,0,1,0,9490,1,16,14,1,1,600,2,1,5
7396,1,10,1982,11137,0,1,28,3,2,1,200985,-4,9000,5,11,4,3,0,1,2,6,7,1,1,2,6,4020,31,3,2,1,5000,375,5,3,5,1,1,4,1,3,0,350,0,12,12,1,2,-4,8680,0,-3,12,4,3,400,5,1,2
7397,1,7,1984,11137,0,1,26,3,0,1,219491,-4,4000,5,4,-1,1,0,7,7,7,7,4,7,1,7,9620,29,3,0,1,-4,205,3,1,1,1,4,4,1,1,0,-4,0,8,8,-4,-4,-4,1180,0,-3,12,3,1,400,8,0,0
7398,1,7,1984,11137,0,1,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,29,3,1,1,-4,190,2,1,3,1,2,5,1,3,0,-5,-5,-5,7,-5,-5,-5,-5,0,-3,12,2,3,400,3,0,-5
7399,2,4,1981,9100,0,1,29,3,2,0,209322,-4,13000,-2,4,3,2,0,3,2,7,5,2,2,5,2,310,32,3,2,1,35000,165,4,3,4,1,4,4,2,3,0,-4,0,-3,-3,0,2,-4,8680,0,12,12,4,-4,300,0,0,2
7400,2,4,1982,9100,0,1,28,2,0,1,192361,-4,-4,5,-2,3,3,0,1,4,4,4,7,5,3,2,-4,31,2,0,1,-4,150,5,4,5,1,4,5,1,1,0,-4,0,8,8,-4,-4,-4,-4,0,12,12,3,-4,300,0,0,0
7401,2,5,1984,59100,0,1,26,3,2,1,353108,-4,3816,5,1,5,3,0,1,1,7,7,1,1,7,4,3600,29,3,2,1,10000,200,5,2,5,1,4,5,2,3,0,-4,3,12,13,0,2,-4,8270,0,12,12,4,4,500,0,0,2
7402,1,4,1980,23600,0,1,30,3,2,0,453365,290,45000,5,8,4,2,0,1,2,7,6,4,3,7,4,1530,33,3,2,1,89000,210,2,3,2,5,2,2,-2,2,0,-4,0,12,16,0,3,-4,3490,0,13,13,2,-4,400,1,2,2
7403,1,1,1984,23600,0,1,27,3,2,1,363386,300,25000,5,11,3,3,0,3,5,5,6,4,5,4,3,8960,30,3,2,1,15000,190,3,2,4,1,4,4,2,3,0,-4,0,12,13,0,2,-4,9590,0,13,13,1,-4,400,0,0,2
7404,2,1,1984,24801,0,1,26,4,2,1,127000,-4,35000,5,3,4,2,0,1,3,6,6,6,3,5,5,3650,29,4,2,1,-2,164,3,2,5,1,2,1,2,4,0,-4,0,12,12,1,3,-4,8190,0,9,12,4,1,200,2,3,2
7405,1,3,1980,11350,0,1,30,4,1,1,159960,-4,17500,5,9,3,1,1,1,1,7,7,3,5,7,7,9620,33,4,1,1,4000,205,3,3,3,2,5,5,1,1,0,-4,0,9,9,0,3,-4,7580,0,-3,11,2,1,300,2,2,1
7406,2,9,1981,11350,0,1,29,4,1,0,122273,-4,9600,5,4,3,3,0,1,3,3,7,7,1,7,7,4600,32,4,1,1,-4,207,4,5,4,1,2,4,1,1,0,-4,0,10,10,-4,1,-4,9290,0,-3,11,4,1,300,2,0,1
7407,2,4,1984,11350,0,1,26,3,0,1,124586,-4,7000,5,4,5,2,0,5,7,7,7,5,7,2,6,3600,29,4,0,1,12000,200,3,1,4,1,1,3,4,4,0,-4,0,10,10,0,3,-4,8190,0,-3,11,1,3,300,1,0,0
7408,2,2,1982,49000,0,2,28,4,2,1,99178,-4,24000,5,6,3,1,0,1,3,7,6,7,2,1,6,2140,31,4,2,1,-4,190,5,5,5,1,5,5,1,1,0,-4,1,12,12,0,1,-4,7270,1,-3,12,2,2,500,0,1,2
7409,2,10,1982,-3,0,1,28,4,0,1,112365,-4,-4,5,2,3,2,0,1,1,7,6,6,4,6,4,4600,31,4,0,1,-2,189,3,3,3,1,1,2,3,1,0,-4,0,9,9,0,1,0,8470,0,-3,8,4,-4,500,1,0,0
7410,2,9,1984,-3,0,1,26,4,1,1,124586,-4,-4,5,2,3,3,0,3,2,3,2,7,7,3,7,-4,29,4,1,1,-4,1,1,1,2,1,1,2,1,2,0,-5,0,9,9,-4,-4,-4,-4,0,-4,12,3,-4,500,1,0,-5
7411,2,11,1984,-3,0,1,26,4,2,1,124586,-4,-4,5,5,3,4,1,5,5,6,5,7,3,5,6,-4,28,4,2,1,-4,110,4,3,3,1,1,2,2,4,1,-4,0,12,12,-4,-4,-4,-4,0,-3,8,3,-4,500,1,0,2
7412,1,5,1983,127000,0,1,27,4,3,1,135213,-4,40000,6,1,3,2,0,4,2,7,3,7,1,7,3,2720,30,4,3,1,-2,200,4,4,5,3,3,3,3,1,0,-4,0,12,15,0,3,-4,7890,1,16,14,4,4,600,0,0,3
7413,1,2,1980,22500,0,2,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,-5,-5,0,12,11,2,-4,-4,2,2,2
7414,2,9,1980,-4,0,2,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,12,13,3,4,-4,2,2,-5
7415,1,12,1982,-4,0,2,28,4,2,1,135562,-4,60000,5,7,3,3,0,2,1,7,6,6,5,4,2,7750,31,4,2,1,39000,175,4,2,4,1,4,4,2,2,0,-5,1,12,12,1,3,-4,3180,1,12,13,2,2,-4,1,3,-5
7416,1,8,1980,-3,0,2,30,4,0,1,145968,-4,46000,5,5,3,4,0,5,5,5,5,5,4,5,4,4250,33,4,0,1,34000,155,-2,-2,4,2,3,3,2,3,0,-5,1,11,11,0,3,-4,7770,0,-3,3,3,3,-4,0,1,-5
7417,1,12,1983,50428,0,2,26,4,1,1,109039,-4,20000,6,2,4,2,0,1,1,6,6,4,6,4,5,-4,30,4,1,1,-2,250,5,5,5,1,4,4,1,3,0,-4,1,11,11,-4,-4,-4,-4,0,12,12,2,-4,200,1,2,1
7418,1,5,1980,59000,0,1,30,4,2,1,159321,-4,43000,5,9,4,2,0,5,6,7,5,6,5,7,3,9130,33,4,2,1,36000,230,3,3,2,1,2,5,1,3,0,-4,1,12,14,0,3,0,4670,0,14,12,4,4,-4,1,1,2
7419,2,5,1982,-4,0,1,28,4,2,1,111917,-4,60000,5,5,5,1,0,1,3,7,6,1,1,6,6,5930,31,4,2,1,43000,210,4,3,5,1,5,5,1,2,0,-4,1,12,14,-4,3,-4,7270,1,16,14,2,4,-4,2,2,2
7420,2,2,1981,114600,0,1,29,4,4,1,121785,-4,26000,5,6,3,1,0,1,1,7,7,5,2,6,5,620,32,4,4,1,94000,130,4,1,4,1,3,5,2,2,0,-4,1,12,18,-4,-4,-4,7590,1,13,12,2,3,200,5,3,4
7421,1,5,1982,114600,0,1,28,4,2,1,116934,-4,79000,5,10,4,3,0,1,1,7,7,5,6,6,7,620,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,12,-5,1,1,-4,7580,1,13,12,2,4,200,6,2,-5
7422,2,3,1982,50000,0,2,28,4,2,1,90990,-4,45000,-1,-1,-1,1,0,1,6,7,7,4,1,5,7,5400,31,4,2,1,30000,-1,-1,-1,5,1,3,5,1,2,0,300,1,12,13,1,3,-4,8190,1,5,3,2,4,400,0,1,2
7423,1,4,1983,-4,0,2,27,4,0,1,99616,-4,-4,-2,-2,3,1,0,2,-2,7,7,-1,3,-2,6,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,8,-5,-4,-4,-4,-4,0,3,-3,4,4,-4,2,3,-5
7424,1,6,1980,44000,0,2,30,4,1,1,133354,-4,33000,6,0,4,4,0,1,2,7,6,7,6,5,2,9620,33,4,1,1,22000,210,3,3,4,1,3,3,3,4,0,-4,1,11,11,0,3,-4,4870,0,-3,5,2,-4,-4,7,3,1
7425,1,4,1984,16000,0,2,26,4,2,1,99263,-4,-4,5,11,1,4,1,1,5,-2,6,7,7,1,7,-4,29,4,2,1,-4,175,4,4,1,4,1,3,4,4,1,-4,0,12,12,-4,-4,-4,-4,1,8,6,3,4,600,1,0,2
7426,1,8,1984,52500,0,2,26,4,-3,1,100297,-4,30000,6,0,3,2,0,1,7,7,7,1,1,4,6,3920,29,4,-3,1,25000,185,3,2,3,1,3,4,2,2,0,400,0,12,13,-4,-4,-4,4790,1,12,12,4,3,400,3,0,-3
7427,1,3,1982,49000,0,2,28,4,0,1,125136,-4,2400,6,1,4,3,0,1,1,5,4,4,7,6,3,4720,31,4,0,1,-2,230,5,2,5,1,5,4,1,3,0,-4,1,9,9,0,3,-4,4990,1,11,12,1,2,600,6,3,0
7428,1,5,1980,-3,0,2,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,33,4,2,1,110000,212,-1,4,5,1,4,4,2,2,0,-4,-5,-5,12,-5,-5,-5,-5,0,-3,12,4,-4,-4,2,3,2
7429,2,2,1984,44546,0,2,26,4,1,1,104089,-4,-4,5,5,3,2,0,1,3,5,6,4,5,5,6,9130,30,4,1,1,13000,119,3,2,4,1,3,3,3,2,0,-4,0,9,9,0,3,-4,8680,1,12,12,2,1,300,0,0,1
7430,1,4,1981,-3,0,2,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,32,4,2,1,-4,280,-2,-2,-2,-2,-2,-2,-2,3,0,-5,-5,-5,10,-5,-5,-5,-5,0,-3,7,3,-4,-4,2,1,-5
7431,1,1,1982,-4,0,2,28,4,4,1,125136,-4,130254,5,10,2,2,0,1,1,7,7,6,4,7,4,120,31,4,4,1,75000,210,2,4,2,1,3,4,1,3,0,-4,0,12,17,-4,-4,-4,7470,1,17,13,2,2,-4,6,3,4
7432,2,10,1983,34200,0,2,27,1,4,1,99278,-4,34000,5,3,3,2,0,1,2,7,6,6,4,6,5,5700,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,12,-5,1,1,-4,8190,1,17,13,4,2,200,1,1,-5
7433,1,10,1984,37500,0,2,26,4,2,1,100297,280,14000,5,11,3,2,0,2,6,7,7,6,5,4,3,4760,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,0,11,-5,0,3,-4,5380,1,9,12,4,4,300,1,1,-5
7434,2,7,1980,56000,0,2,30,4,2,0,113513,-4,-4,5,2,3,1,0,1,1,7,7,6,2,5,3,430,33,4,2,1,3000,145,5,1,3,1,5,5,1,3,0,-4,1,12,12,-4,1,-4,8590,1,9,15,1,3,300,0,3,2
7435,1,7,1983,56000,0,2,27,4,2,1,100653,-4,-2,5,6,4,2,0,1,1,7,6,5,3,4,4,5400,30,4,2,1,52000,184,4,5,4,1,4,4,2,2,0,-4,0,12,12,0,2,-4,8190,1,9,15,4,4,300,0,1,2
7436,1,12,1981,22002,0,2,28,4,0,1,143180,-4,-4,5,5,3,3,0,1,1,5,5,1,6,7,1,-4,32,4,0,1,-4,190,-1,4,4,3,-2,-2,3,3,0,-4,0,10,10,-4,-4,-4,-4,0,-3,11,2,-4,400,4,2,0
7437,2,5,1984,22002,0,2,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,29,4,2,1,-4,118,-2,-1,-2,2,-1,-1,1,1,0,-4,-5,-5,12,-5,-5,-5,-5,0,-3,11,2,4,400,0,0,2
7438,2,10,1980,10750,0,2,30,4,2,1,120621,360,28000,5,0,3,3,0,1,2,6,6,2,7,7,6,5260,33,4,2,1,16995,110,3,3,3,1,1,3,2,3,0,250,0,12,14,0,3,-4,6890,1,6,3,2,3,200,7,3,2
